round_num,cash,pot_value,call,ev,win_prob,does_play,bet
1,99,8,0,1,0.174,True,1
1,99,13,2,1,0.174,False,1
1,99,15,2,1,0.174,False,1
1,99,18,3,1,0.174,False,1
2,94,18,7,-3,0.174,False,1
2,94,29,11,-4,0.174,False,1
2,94,47,18,-7,0.174,False,1
3,89,11,0,2,0.174,True,2
3,87,13,0,2,0.174,True,2
3,84,15,0,3,0.174,True,3
4,83,10,1,1,0.174,True,1
4,83,13,2,1,0.174,False,1
4,83,15,2,1,0.174,False,1
4,83,18,3,1,0.174,False,1
5,78,9,1,5,0.612,True,5
5,69,16,2,9,0.612,True,9
5,53,29,4,16,0.612,True,16
5,24,53,8,29,0.612,True,29
6,19,8,0,5,0.612,True,5
6,11,15,2,8,0.612,True,8
6,0,27,4,15,0.612,True,11
