round_num,cash,pot_value,call,ev,win_prob,does_play,bet
1,99,9,1,1,0.174,True,1
1,99,13,2,1,0.174,False,1
1,99,15,2,1,0.174,False,1
1,99,18,3,1,0.174,False,1
2,98,8,0,1,0.174,True,1
2,98,18,7,-3,0.174,False,1
2,98,29,11,-4,0.174,False,1
2,98,47,18,-7,0.174,False,1
3,93,13,2,1,0.174,False,1
3,93,15,2,1,0.174,False,1
3,93,18,3,1,0.174,False,1
4,106,11,0,2,0.174,True,2
4,104,13,0,2,0.174,True,2
4,101,15,0,3,0.174,True,3
5,101,14,5,-2,0.174,False,3
5,101,25,9,-3,0.174,False,3
5,101,45,16,-5,0.174,False,3
5,101,82,29,-10,0.174,False,3
6,101,13,5,-2,0.174,False,3
6,101,23,8,-3,0.174,False,3
6,101,38,11,-2,0.174,False,3
7,96,12,2,0,0.174,False,3
7,96,14,2,1,0.174,False,3
7,96,16,2,1,0.174,False,3
8,107,13,0,2,0.174,True,2
8,103,23,0,4,0.174,True,4
8,96,42,0,7,0.174,True,7
9,167,10,0,2,0.174,True,2
9,165,12,0,2,0.174,True,2
9,163,14,0,2,0.174,True,2
10,162,9,1,1,0.174,True,1
10,162,12,2,0,0.174,False,1
10,162,14,2,1,0.174,False,1
10,162,16,2,1,0.174,False,1
11,157,8,0,5,0.612,True,5
11,147,21,8,10,0.612,True,10
11,124,50,19,23,0.612,True,23
11,71,112,39,53,0.612,True,53
12,231,11,2,0,0.174,False,53
12,231,13,2,1,0.174,False,53
12,231,15,2,1,0.174,False,53
13,241,9,0,2,0.174,True,2
13,239,11,0,2,0.174,True,2
13,237,13,0,2,0.174,True,2
14,243,9,0,6,0.612,True,6
14,234,15,0,9,0.612,True,9
14,219,24,0,15,0.612,True,15
15,253,8,0,5,0.612,True,5
15,245,15,2,8,0.612,True,8
15,230,27,4,15,0.612,True,15
15,203,49,7,27,0.612,True,27
16,268,11,2,6,0.612,True,6
16,257,20,3,11,0.612,True,11
16,237,36,5,20,0.612,True,20
17,232,11,2,0,0.174,False,20
17,232,13,2,1,0.174,False,20
17,232,15,2,1,0.174,False,20
18,238,9,0,6,0.612,True,6
18,229,15,0,9,0.612,True,9
18,214,24,0,15,0.612,True,15
19,248,9,0,2,0.174,True,2
19,246,11,0,2,0.174,True,2
19,244,13,0,2,0.174,True,2
20,243,8,0,1,0.174,True,1
20,243,11,2,0,0.174,False,1
20,243,13,2,1,0.174,False,1
20,243,15,2,1,0.174,False,1
21,238,15,6,-2,0.174,False,1
21,238,24,9,-3,0.174,False,1
21,238,39,15,-6,0.174,False,1
22,233,15,2,1,0.174,False,1
22,233,27,4,1,0.174,False,1
22,233,49,7,3,0.174,False,1
23,228,9,0,2,0.174,True,2
23,226,11,0,2,0.174,True,2
23,224,13,0,2,0.174,True,2
24,234,9,0,2,0.174,True,2
24,232,11,0,2,0.174,True,2
24,230,13,0,2,0.174,True,2
25,229,8,0,1,0.174,True,1
25,229,11,2,0,0.174,False,1
25,229,13,2,1,0.174,False,1
25,229,15,2,1,0.174,False,1
26,224,11,2,0,0.174,False,1
26,224,13,2,1,0.174,False,1
26,224,15,2,1,0.174,False,1
27,219,11,2,0,0.174,False,1
27,219,13,2,1,0.174,False,1
27,219,15,2,1,0.174,False,1
28,214,9,0,2,0.174,True,2
28,212,11,0,2,0.174,True,2
28,210,13,0,2,0.174,True,2
29,220,9,0,2,0.174,True,2
29,217,17,0,3,0.174,True,3
29,212,31,0,5,0.174,True,5
30,211,8,0,1,0.174,True,1
30,211,17,6,-2,0.174,False,1
30,211,31,11,-4,0.174,False,1
30,211,56,20,-7,0.174,False,1
31,206,11,2,0,0.174,False,1
31,206,13,2,1,0.174,False,1
31,206,15,2,1,0.174,False,1
32,201,15,6,-2,0.174,False,1
32,201,24,9,-3,0.174,False,1
32,201,39,15,-6,0.174,False,1
33,235,13,0,2,0.174,True,2
33,231,23,0,4,0.174,True,4
33,224,42,0,7,0.174,True,7
34,295,9,0,2,0.174,True,2
34,293,11,0,2,0.174,True,2
34,291,13,0,2,0.174,True,2
35,305,8,0,1,0.174,True,1
35,305,11,2,0,0.174,False,1
35,305,13,2,1,0.174,False,1
35,305,15,2,1,0.174,False,1
36,304,5,0,1,0.174,True,1
36,303,6,0,1,0.174,True,1
36,302,7,0,1,0.174,True,1
37,307,8,0,1,0.174,True,1
37,305,10,0,2,0.174,True,2
37,303,12,0,2,0.174,True,2
38,313,8,0,1,0.174,True,1
38,311,10,0,2,0.174,True,2
38,309,12,0,2,0.174,True,2
39,305,8,0,1,0.174,True,1
39,303,10,0,2,0.174,True,2
39,301,12,0,2,0.174,True,2
40,309,9,1,1,0.174,True,1
40,309,12,2,0,0.174,False,1
40,309,14,2,1,0.174,False,1
41,301,8,0,5,0.612,True,5
41,289,19,0,12,0.612,True,12
41,261,45,0,28,0.612,True,28
42,364,8,0,1,0.174,True,1
42,362,10,0,2,0.174,True,2
42,360,12,0,2,0.174,True,2
43,370,8,0,1,0.174,True,1
43,368,14,0,2,0.174,True,2
43,364,25,0,4,0.174,True,4
44,405,8,0,1,0.174,True,1
44,403,10,0,2,0.174,True,2
44,401,12,0,2,0.174,True,2
45,395,9,1,1,0.174,True,1
45,395,12,2,0,0.174,False,1
45,395,14,2,1,0.174,False,1
46,391,8,0,1,0.174,True,1
46,389,10,0,2,0.174,True,2
46,387,12,0,2,0.174,True,2
47,383,8,0,1,0.174,True,1
47,381,10,0,2,0.174,True,2
47,379,12,0,2,0.174,True,2
48,375,8,0,1,0.174,True,1
48,373,10,0,2,0.174,True,2
48,371,12,0,2,0.174,True,2
49,381,8,0,1,0.174,True,1
49,379,14,0,2,0.174,True,2
49,375,25,0,4,0.174,True,4
50,414,9,1,1,0.174,True,1
50,414,12,2,0,0.174,False,1
50,414,14,2,1,0.174,False,1
51,410,8,0,1,0.174,True,1
51,408,10,0,2,0.174,True,2
51,406,12,0,2,0.174,True,2
52,416,8,0,1,0.174,True,1
52,414,10,0,2,0.174,True,2
52,412,12,0,2,0.174,True,2
53,422,8,0,1,0.174,True,1
53,420,10,0,2,0.174,True,2
53,418,12,0,2,0.174,True,2
54,414,8,0,1,0.174,True,1
54,412,10,0,2,0.174,True,2
54,410,12,0,2,0.174,True,2
55,404,9,1,1,0.174,True,1
55,404,12,2,0,0.174,False,1
55,404,14,2,1,0.174,False,1
56,414,8,0,1,0.174,True,1
56,412,10,0,2,0.174,True,2
56,410,12,0,2,0.174,True,2
57,420,8,0,1,0.174,True,1
57,418,10,0,2,0.174,True,2
57,416,12,0,2,0.174,True,2
58,426,8,0,1,0.174,True,1
58,424,10,0,2,0.174,True,2
58,422,12,0,2,0.174,True,2
59,428,8,0,5,0.612,True,5
59,420,13,0,8,0.612,True,8
59,407,21,0,13,0.612,True,13
60,401,9,1,1,0.174,True,1
60,401,12,2,0,0.174,False,1
60,401,14,2,1,0.174,False,1
61,397,8,0,1,0.174,True,1
61,395,10,0,2,0.174,True,2
61,393,12,0,2,0.174,True,2
62,403,8,0,1,0.174,True,1
62,401,10,0,2,0.174,True,2
62,399,12,0,2,0.174,True,2
63,395,8,0,1,0.174,True,1
63,393,10,0,2,0.174,True,2
63,391,12,0,2,0.174,True,2
64,387,8,0,1,0.174,True,1
64,385,10,0,2,0.174,True,2
64,383,12,0,2,0.174,True,2
65,377,9,1,1,0.174,True,1
65,377,12,2,0,0.174,False,1
65,377,14,2,1,0.174,False,1
66,373,8,0,1,0.174,True,1
66,371,10,0,2,0.174,True,2
66,369,12,0,2,0.174,True,2
67,379,8,0,1,0.174,True,1
67,377,10,0,2,0.174,True,2
67,375,12,0,2,0.174,True,2
68,371,8,0,1,0.174,True,1
68,369,10,0,2,0.174,True,2
68,367,12,0,2,0.174,True,2
69,363,8,0,1,0.174,True,1
69,361,10,0,2,0.174,True,2
69,359,12,0,2,0.174,True,2
70,353,9,1,1,0.174,True,1
70,353,12,2,0,0.174,False,1
70,353,14,2,1,0.174,False,1
71,349,8,0,1,0.174,True,1
71,347,10,0,2,0.174,True,2
71,345,12,0,2,0.174,True,2
72,351,8,0,5,0.612,True,5
72,343,13,0,8,0.612,True,8
72,330,21,0,13,0.612,True,13
73,360,8,0,1,0.174,True,1
73,358,10,0,2,0.174,True,2
73,356,12,0,2,0.174,True,2
74,352,8,0,1,0.174,True,1
74,350,10,0,2,0.174,True,2
74,348,12,0,2,0.174,True,2
75,356,9,1,1,0.174,True,1
75,356,12,2,0,0.174,False,1
75,356,14,2,1,0.174,False,1
76,352,8,0,1,0.174,True,1
76,350,10,0,2,0.174,True,2
76,348,12,0,2,0.174,True,2
77,344,8,0,1,0.174,True,1
77,342,10,0,2,0.174,True,2
77,340,12,0,2,0.174,True,2
78,336,8,0,1,0.174,True,1
78,334,10,0,2,0.174,True,2
78,332,12,0,2,0.174,True,2
79,342,8,0,1,0.174,True,1
79,340,10,0,2,0.174,True,2
79,338,12,0,2,0.174,True,2
80,332,9,1,1,0.174,True,1
80,332,12,2,0,0.174,False,1
80,332,14,2,1,0.174,False,1
81,324,8,0,5,0.612,True,5
81,316,13,0,8,0.612,True,8
81,303,21,0,13,0.612,True,13
82,333,8,0,1,0.174,True,1
82,331,10,0,2,0.174,True,2
82,329,12,0,2,0.174,True,2
83,325,8,0,1,0.174,True,1
83,323,10,0,2,0.174,True,2
83,321,12,0,2,0.174,True,2
84,317,8,0,1,0.174,True,1
84,315,10,0,2,0.174,True,2
84,313,12,0,2,0.174,True,2
85,321,9,1,1,0.174,True,1
85,321,12,2,0,0.174,False,1
85,321,14,2,1,0.174,False,1
86,331,8,0,1,0.174,True,1
86,329,10,0,2,0.174,True,2
86,327,12,0,2,0.174,True,2
87,337,8,0,1,0.174,True,1
87,335,10,0,2,0.174,True,2
87,333,12,0,2,0.174,True,2
88,343,8,0,1,0.174,True,1
88,341,10,0,2,0.174,True,2
88,339,12,0,2,0.174,True,2
89,349,8,0,1,0.174,True,1
89,347,10,0,2,0.174,True,2
89,345,12,0,2,0.174,True,2
90,353,9,1,1,0.174,True,1
90,353,12,2,0,0.174,False,1
90,353,14,2,1,0.174,False,1
91,349,8,0,1,0.174,True,1
91,347,10,0,2,0.174,True,2
91,345,12,0,2,0.174,True,2
92,355,8,0,1,0.174,True,1
92,353,10,0,2,0.174,True,2
92,351,12,0,2,0.174,True,2
93,347,8,0,1,0.174,True,1
93,345,10,0,2,0.174,True,2
93,343,12,0,2,0.174,True,2
94,339,8,0,1,0.174,True,1
94,337,10,0,2,0.174,True,2
94,335,12,0,2,0.174,True,2
95,329,9,1,1,0.174,True,1
95,329,12,2,0,0.174,False,1
95,329,14,2,1,0.174,False,1
96,325,8,0,1,0.174,True,1
96,323,10,0,2,0.174,True,2
96,321,12,0,2,0.174,True,2
97,331,8,0,1,0.174,True,1
97,329,10,0,2,0.174,True,2
97,327,12,0,2,0.174,True,2
98,333,8,0,5,0.612,True,5
98,325,13,0,8,0.612,True,8
98,312,21,0,13,0.612,True,13
99,304,8,0,5,0.612,True,5
99,296,13,0,8,0.612,True,8
99,283,21,0,13,0.612,True,13
100,311,9,1,1,0.174,True,1
100,311,12,2,0,0.174,False,1
100,311,14,2,1,0.174,False,1
