round_num,cash,pot_value,call,ev,win_prob,does_play,bet
1,95,13,2,1,0.174,False,0
1,95,15,2,1,0.174,False,0
1,95,18,3,1,0.174,False,0
2,85,11,0,7,0.612,True,7
2,74,18,0,11,0.612,True,11
2,56,29,0,18,0.612,True,18
3,55,10,1,1,0.174,True,1
3,55,13,2,1,0.174,False,1
3,55,15,2,1,0.174,False,1
3,55,18,3,1,0.174,False,1
4,54,9,1,1,0.174,True,1
4,54,13,2,1,0.174,False,1
4,54,15,2,1,0.174,False,1
4,54,18,3,1,0.174,False,1
5,71,8,0,1,0.174,True,1
5,71,16,2,1,0.174,False,1
5,71,29,4,2,0.174,False,1
5,71,53,8,3,0.174,False,1
6,66,15,2,1,0.174,False,1
6,66,27,4,1,0.174,False,1
6,66,45,7,2,0.174,False,1
7,61,10,0,2,0.174,True,2
7,59,12,0,2,0.174,True,2
7,57,14,0,2,0.174,True,2
8,57,13,5,-2,0.174,False,2
8,57,23,8,-3,0.174,False,2
8,57,42,15,-5,0.174,False,2
8,57,76,27,-9,0.174,False,2
9,56,9,1,1,0.174,True,1
9,56,12,2,0,0.174,False,1
9,56,14,2,1,0.174,False,1
9,56,16,2,1,0.174,False,1
10,71,8,0,1,0.174,True,1
10,71,12,2,0,0.174,False,1
10,71,14,2,1,0.174,False,1
10,71,16,2,1,0.174,False,1
11,82,21,8,-3,0.174,False,1
11,82,50,19,-7,0.174,False,1
11,82,112,39,-13,0.174,False,1
12,77,9,0,2,0.174,True,2
12,75,11,0,2,0.174,True,2
12,73,13,0,2,0.174,True,2
13,72,8,0,1,0.174,True,1
13,72,11,2,0,0.174,False,1
13,72,13,2,1,0.174,False,1
13,72,15,2,1,0.174,False,1
14,71,8,0,1,0.174,True,1
14,71,15,6,-2,0.174,False,1
14,71,24,9,-3,0.174,False,1
14,71,39,15,-6,0.174,False,1
15,66,15,2,1,0.174,False,1
15,66,27,4,1,0.174,False,1
15,66,49,7,3,0.174,False,1
16,61,9,0,2,0.174,True,2
16,58,17,0,3,0.174,True,3
16,53,31,0,5,0.174,True,5
17,104,9,0,2,0.174,True,2
17,102,11,0,2,0.174,True,2
17,100,13,0,2,0.174,True,2
18,99,8,0,1,0.174,True,1
18,99,15,6,-2,0.174,False,1
18,99,24,9,-3,0.174,False,1
18,99,39,15,-6,0.174,False,1
19,98,8,0,1,0.174,True,1
19,98,11,2,0,0.174,False,1
19,98,13,2,1,0.174,False,1
19,98,15,2,1,0.174,False,1
20,93,11,2,0,0.174,False,1
20,93,13,2,1,0.174,False,1
20,93,15,2,1,0.174,False,1
21,84,9,0,6,0.612,True,6
21,75,15,0,9,0.612,True,9
21,60,24,0,15,0.612,True,15
22,94,13,0,2,0.174,True,2
22,90,23,0,4,0.174,True,4
22,83,42,0,7,0.174,True,7
23,158,8,0,1,0.174,True,1
23,158,11,2,0,0.174,False,1
23,158,13,2,1,0.174,False,1
23,158,15,2,1,0.174,False,1
24,157,8,0,1,0.174,True,1
24,157,11,2,0,0.174,False,1
24,157,13,2,1,0.174,False,1
24,157,15,2,1,0.174,False,1
25,152,11,2,0,0.174,False,1
25,152,13,2,1,0.174,False,1
25,152,15,2,1,0.174,False,1
26,147,9,0,2,0.174,True,2
26,145,11,0,2,0.174,True,2
26,143,13,0,2,0.174,True,2
27,138,9,0,2,0.174,True,2
27,136,11,0,2,0.174,True,2
27,134,13,0,2,0.174,True,2
28,133,8,0,1,0.174,True,1
28,133,11,2,0,0.174,False,1
28,133,13,2,1,0.174,False,1
28,133,15,2,1,0.174,False,1
29,132,8,0,1,0.174,True,1
29,132,17,6,-2,0.174,False,1
29,132,31,11,-4,0.174,False,1
29,132,56,20,-7,0.174,False,1
30,121,11,2,6,0.612,True,6
30,110,20,3,11,0.612,True,11
30,90,36,5,20,0.612,True,20
31,85,9,0,2,0.174,True,2
31,83,11,0,2,0.174,True,2
31,81,13,0,2,0.174,True,2
32,87,9,0,6,0.612,True,6
32,78,15,0,9,0.612,True,9
32,63,24,0,15,0.612,True,15
33,58,8,0,5,0.612,True,5
33,50,15,2,8,0.612,True,8
33,35,27,4,15,0.612,True,15
33,8,49,7,27,0.612,True,27
34,7,8,0,1,0.174,True,1
34,7,11,2,0,0.174,False,1
34,7,13,2,1,0.174,False,1
34,7,15,2,1,0.174,False,1
35,2,11,2,0,0.174,False,1
35,2,13,2,1,0.174,False,1
35,2,15,2,1,0.174,False,1
