round_num,cash,pot_value,call,ev,win_prob,does_play,bet
36,187,8,1,1,0.174,True,1
37,181,9,1,1,0.174,True,1
37,181,12,2,0,0.174,False,1
37,181,14,2,1,0.174,False,1
38,175,9,1,1,0.174,True,1
38,175,12,2,0,0.174,False,1
38,175,14,2,1,0.174,False,1
39,183,9,1,1,0.174,True,1
39,183,12,2,0,0.174,False,1
39,183,14,2,1,0.174,False,1
40,179,8,0,1,0.174,True,1
40,177,10,0,2,0.174,True,2
40,175,12,0,2,0.174,True,2
41,178,13,5,6,0.612,True,6
41,164,31,12,14,0.612,True,14
41,130,73,28,34,0.612,True,34
42,124,9,1,1,0.174,True,1
42,124,12,2,0,0.174,False,1
42,124,14,2,1,0.174,False,1
43,114,9,1,5,0.612,True,5
43,105,16,2,9,0.612,True,9
43,89,29,4,16,0.612,True,16
44,83,9,1,1,0.174,True,1
44,83,12,2,0,0.174,False,1
44,83,14,2,1,0.174,False,1
45,93,8,0,1,0.174,True,1
45,91,10,0,2,0.174,True,2
45,89,12,0,2,0.174,True,2
46,97,9,1,1,0.174,True,1
46,97,12,2,0,0.174,False,1
46,97,14,2,1,0.174,False,1
47,105,9,1,1,0.174,True,1
47,105,12,2,0,0.174,False,1
47,105,14,2,1,0.174,False,1
48,113,9,1,1,0.174,True,1
48,113,12,2,0,0.174,False,1
48,113,14,2,1,0.174,False,1
49,103,9,1,5,0.612,True,5
49,94,16,2,9,0.612,True,9
49,78,29,4,16,0.612,True,16
50,74,8,0,1,0.174,True,1
50,72,10,0,2,0.174,True,2
50,70,12,0,2,0.174,True,2
51,78,9,1,1,0.174,True,1
51,78,12,2,0,0.174,False,1
51,78,14,2,1,0.174,False,1
52,72,9,1,1,0.174,True,1
52,72,12,2,0,0.174,False,1
52,72,14,2,1,0.174,False,1
53,66,9,1,1,0.174,True,1
53,66,12,2,0,0.174,False,1
53,66,14,2,1,0.174,False,1
54,74,9,1,1,0.174,True,1
54,74,12,2,0,0.174,False,1
54,74,14,2,1,0.174,False,1
55,84,8,0,1,0.174,True,1
55,82,10,0,2,0.174,True,2
55,80,12,0,2,0.174,True,2
56,74,9,1,1,0.174,True,1
56,74,12,2,0,0.174,False,1
56,74,14,2,1,0.174,False,1
57,68,9,1,1,0.174,True,1
57,68,12,2,0,0.174,False,1
57,68,14,2,1,0.174,False,1
58,62,9,1,1,0.174,True,1
58,62,12,2,0,0.174,False,1
58,62,14,2,1,0.174,False,1
59,57,13,5,-2,0.174,False,1
59,57,21,8,-3,0.174,False,1
59,57,34,13,-5,0.174,False,1
60,87,8,0,1,0.174,True,1
60,85,10,0,2,0.174,True,2
60,83,12,0,2,0.174,True,2
61,91,9,1,1,0.174,True,1
61,91,12,2,0,0.174,False,1
61,91,14,2,1,0.174,False,1
62,85,9,1,1,0.174,True,1
62,85,12,2,0,0.174,False,1
62,85,14,2,1,0.174,False,1
63,93,9,1,1,0.174,True,1
63,93,12,2,0,0.174,False,1
63,93,14,2,1,0.174,False,1
64,101,9,1,1,0.174,True,1
64,101,12,2,0,0.174,False,1
64,101,14,2,1,0.174,False,1
65,111,8,0,1,0.174,True,1
65,109,10,0,2,0.174,True,2
65,107,12,0,2,0.174,True,2
66,115,9,1,1,0.174,True,1
66,115,12,2,0,0.174,False,1
66,115,14,2,1,0.174,False,1
67,109,9,1,1,0.174,True,1
67,109,12,2,0,0.174,False,1
67,109,14,2,1,0.174,False,1
68,117,9,1,1,0.174,True,1
68,117,12,2,0,0.174,False,1
68,117,14,2,1,0.174,False,1
69,125,9,1,1,0.174,True,1
69,125,12,2,0,0.174,False,1
69,125,14,2,1,0.174,False,1
70,135,8,0,1,0.174,True,1
70,133,10,0,2,0.174,True,2
70,131,12,0,2,0.174,True,2
71,139,9,1,1,0.174,True,1
71,139,12,2,0,0.174,False,1
71,139,14,2,1,0.174,False,1
72,134,13,5,-2,0.174,False,1
72,134,21,8,-3,0.174,False,1
72,134,34,13,-5,0.174,False,1
73,128,9,1,1,0.174,True,1
73,128,12,2,0,0.174,False,1
73,128,14,2,1,0.174,False,1
74,136,9,1,1,0.174,True,1
74,136,12,2,0,0.174,False,1
74,136,14,2,1,0.174,False,1
75,132,8,0,1,0.174,True,1
75,130,10,0,2,0.174,True,2
75,128,12,0,2,0.174,True,2
76,136,9,1,1,0.174,True,1
76,136,12,2,0,0.174,False,1
76,136,14,2,1,0.174,False,1
77,144,9,1,1,0.174,True,1
77,144,12,2,0,0.174,False,1
77,144,14,2,1,0.174,False,1
78,152,9,1,1,0.174,True,1
78,152,12,2,0,0.174,False,1
78,152,14,2,1,0.174,False,1
79,146,9,1,1,0.174,True,1
79,146,12,2,0,0.174,False,1
79,146,14,2,1,0.174,False,1
80,156,8,0,1,0.174,True,1
80,154,10,0,2,0.174,True,2
80,152,12,0,2,0.174,True,2
81,161,13,5,-2,0.174,False,2
81,161,21,8,-3,0.174,False,2
81,161,34,13,-5,0.174,False,2
82,155,9,1,1,0.174,True,1
82,155,12,2,0,0.174,False,1
82,155,14,2,1,0.174,False,1
83,163,9,1,1,0.174,True,1
83,163,12,2,0,0.174,False,1
83,163,14,2,1,0.174,False,1
84,171,9,1,1,0.174,True,1
84,171,12,2,0,0.174,False,1
84,171,14,2,1,0.174,False,1
85,167,8,0,1,0.174,True,1
85,165,10,0,2,0.174,True,2
85,163,12,0,2,0.174,True,2
86,157,9,1,1,0.174,True,1
86,157,12,2,0,0.174,False,1
86,157,14,2,1,0.174,False,1
87,151,9,1,1,0.174,True,1
87,151,12,2,0,0.174,False,1
87,151,14,2,1,0.174,False,1
88,145,9,1,1,0.174,True,1
88,145,12,2,0,0.174,False,1
88,145,14,2,1,0.174,False,1
89,139,9,1,1,0.174,True,1
89,139,12,2,0,0.174,False,1
89,139,14,2,1,0.174,False,1
90,135,8,0,1,0.174,True,1
90,133,10,0,2,0.174,True,2
90,131,12,0,2,0.174,True,2
91,139,9,1,1,0.174,True,1
91,139,12,2,0,0.174,False,1
91,139,14,2,1,0.174,False,1
92,133,9,1,1,0.174,True,1
92,133,12,2,0,0.174,False,1
92,133,14,2,1,0.174,False,1
93,141,9,1,1,0.174,True,1
93,141,12,2,0,0.174,False,1
93,141,14,2,1,0.174,False,1
94,149,9,1,1,0.174,True,1
94,149,12,2,0,0.174,False,1
94,149,14,2,1,0.174,False,1
95,159,8,0,1,0.174,True,1
95,157,10,0,2,0.174,True,2
95,155,12,0,2,0.174,True,2
96,163,9,1,1,0.174,True,1
96,163,12,2,0,0.174,False,1
96,163,14,2,1,0.174,False,1
97,157,9,1,1,0.174,True,1
97,157,12,2,0,0.174,False,1
97,157,14,2,1,0.174,False,1
98,152,13,5,-2,0.174,False,1
98,152,21,8,-3,0.174,False,1
98,152,34,13,-5,0.174,False,1
99,181,13,5,-2,0.174,False,1
99,181,21,8,-3,0.174,False,1
99,181,34,13,-5,0.174,False,1
100,177,8,0,1,0.174,True,1
100,175,10,0,2,0.174,True,2
100,173,12,0,2,0.174,True,2
