round_num,cash,pot_value,call,ev,win_prob,does_play,bet
1,99,10,1,1,0.174,True,1
1,99,13,2,1,0.174,False,1
1,99,15,2,1,0.174,False,1
1,99,18,3,1,0.174,False,1
2,98,9,1,1,0.174,True,1
2,98,18,7,-3,0.174,False,1
2,98,29,11,-4,0.174,False,1
2,98,47,18,-7,0.174,False,1
3,97,8,0,1,0.174,True,1
3,97,13,2,1,0.174,False,1
3,97,15,2,1,0.174,False,1
3,97,18,3,1,0.174,False,1
4,92,13,2,1,0.174,False,1
4,92,15,2,1,0.174,False,1
4,92,18,3,1,0.174,False,1
5,87,14,0,2,0.174,True,2
5,83,25,0,4,0.174,True,4
5,75,45,0,8,0.174,True,8
6,157,13,5,-2,0.174,False,8
6,157,23,8,-3,0.174,False,8
6,157,38,11,-2,0.174,False,8
6,157,45,7,2,0.174,False,8
7,201,8,0,1,0.174,True,1
7,201,12,2,0,0.174,False,1
7,201,14,2,1,0.174,False,1
7,201,16,2,1,0.174,False,1
8,196,15,2,1,0.174,False,1
8,196,27,4,1,0.174,False,1
8,196,49,7,3,0.174,False,1
9,191,12,2,0,0.174,False,1
9,191,14,2,1,0.174,False,1
9,191,16,2,1,0.174,False,1
10,186,10,0,2,0.174,True,2
10,184,12,0,2,0.174,True,2
10,182,14,0,2,0.174,True,2
11,182,13,5,-2,0.174,False,2
11,182,31,10,-3,0.174,False,2
11,182,73,23,-6,0.174,False,2
11,182,165,53,-15,0.174,False,2
12,181,8,0,1,0.174,True,1
12,181,11,2,0,0.174,False,1
12,181,13,2,1,0.174,False,1
12,181,15,2,1,0.174,False,1
13,176,11,2,0,0.174,False,1
13,176,13,2,1,0.174,False,1
13,176,15,2,1,0.174,False,1
14,171,15,6,-2,0.174,False,1
14,171,24,9,-3,0.174,False,1
14,171,39,15,-6,0.174,False,1
15,166,13,0,2,0.174,True,2
15,162,23,0,4,0.174,True,4
15,155,42,0,7,0.174,True,7
16,154,8,0,1,0.174,True,1
16,154,17,6,-2,0.174,False,1
16,154,31,11,-4,0.174,False,1
16,154,56,20,-7,0.174,False,1
17,153,8,0,1,0.174,True,1
17,153,11,2,0,0.174,False,1
17,153,13,2,1,0.174,False,1
17,153,15,2,1,0.174,False,1
18,148,15,6,-2,0.174,False,1
18,148,24,9,-3,0.174,False,1
18,148,39,15,-6,0.174,False,1
19,143,11,2,0,0.174,False,1
19,143,13,2,1,0.174,False,1
19,143,15,2,1,0.174,False,1
20,153,9,0,2,0.174,True,2
20,151,11,0,2,0.174,True,2
20,149,13,0,2,0.174,True,2
21,163,8,0,1,0.174,True,1
21,163,15,6,-2,0.174,False,1
21,163,24,9,-3,0.174,False,1
21,163,39,15,-6,0.174,False,1
22,158,8,0,5,0.612,True,5
22,150,15,2,8,0.612,True,8
22,135,27,4,15,0.612,True,15
22,108,49,7,27,0.612,True,27
23,103,11,2,0,0.174,False,27
23,103,13,2,1,0.174,False,27
23,103,15,2,1,0.174,False,27
24,98,11,2,0,0.174,False,27
24,98,13,2,1,0.174,False,27
24,98,15,2,1,0.174,False,27
25,108,9,0,2,0.174,True,2
25,106,11,0,2,0.174,True,2
25,104,13,0,2,0.174,True,2
26,118,8,0,1,0.174,True,1
26,118,11,2,0,0.174,False,1
26,118,13,2,1,0.174,False,1
26,118,15,2,1,0.174,False,1
27,132,8,0,1,0.174,True,1
27,132,11,2,0,0.174,False,1
27,132,13,2,1,0.174,False,1
27,132,15,2,1,0.174,False,1
28,142,11,2,0,0.174,False,1
28,142,13,2,1,0.174,False,1
28,142,15,2,1,0.174,False,1
29,131,11,2,6,0.612,True,6
29,120,20,3,11,0.612,True,11
29,100,36,5,20,0.612,True,20
30,151,9,0,2,0.174,True,2
30,148,17,0,3,0.174,True,3
30,143,31,0,5,0.174,True,5
31,198,8,0,1,0.174,True,1
31,198,11,2,0,0.174,False,1
31,198,13,2,1,0.174,False,1
31,198,15,2,1,0.174,False,1
32,197,8,0,1,0.174,True,1
32,197,15,6,-2,0.174,False,1
32,197,24,9,-3,0.174,False,1
32,197,39,15,-6,0.174,False,1
33,192,15,2,1,0.174,False,1
33,192,27,4,1,0.174,False,1
33,192,49,7,3,0.174,False,1
34,187,11,2,0,0.174,False,1
34,187,13,2,1,0.174,False,1
34,187,15,2,1,0.174,False,1
35,182,9,0,2,0.174,True,2
35,180,11,0,2,0.174,True,2
35,178,13,0,2,0.174,True,2
36,188,6,1,0,0.174,False,2
36,188,7,1,0,0.174,False,2
